roundId,playerAddressHash,timestamp,x,y,ts
1761531853380_x8udreg6r,489afd08ae060c4d6a553a5b3a4591ce,2025-10-27T02:24:19.370Z,346,485,1761531853987
1761531853380_x8udreg6r,489afd08ae060c4d6a553a5b3a4591ce,2025-10-27T02:24:19.370Z,315,462,1761531854037
1761531853380_x8udreg6r,489afd08ae060c4d6a553a5b3a4591ce,2025-10-27T02:24:19.370Z,232,442,1761531854088
1761531853380_x8udreg6r,489afd08ae060c4d6a553a5b3a4591ce,2025-10-27T02:24:19.370Z,114,434,1761531854154
1761531875352_x4j9uj8es,387307857eabf959fce6a366ceea1515,2025-10-27T02:24:39.582Z,3,779,1761531876373
1761531887059_39d2dh6yl,489afd08ae060c4d6a553a5b3a4591ce,2025-10-27T02:24:51.301Z,272,693,1761531887871
1761531898697_653gn75d4,9e5ac443887a34245aad6d8a2a3477f5,2025-10-27T02:25:02.945Z,155,768,1761531898704
1761531898697_653gn75d4,9e5ac443887a34245aad6d8a2a3477f5,2025-10-27T02:25:02.945Z,154,769,1761531898899
1761531898697_653gn75d4,9e5ac443887a34245aad6d8a2a3477f5,2025-10-27T02:25:02.945Z,154,769,1761531898990
1761531898697_653gn75d4,9e5ac443887a34245aad6d8a2a3477f5,2025-10-27T02:25:02.945Z,165,752,1761531899054
1761531898697_653gn75d4,9e5ac443887a34245aad6d8a2a3477f5,2025-10-27T02:25:02.945Z,178,729,1761531899104
1761531898697_653gn75d4,9e5ac443887a34245aad6d8a2a3477f5,2025-10-27T02:25:02.945Z,181,721,1761531899154
1761531898697_653gn75d4,9e5ac443887a34245aad6d8a2a3477f5,2025-10-27T02:25:02.945Z,184,712,1761531899204
1761531898697_653gn75d4,9e5ac443887a34245aad6d8a2a3477f5,2025-10-27T02:25:02.945Z,187,707,1761531899543
1761531898697_653gn75d4,9e5ac443887a34245aad6d8a2a3477f5,2025-10-27T02:25:02.945Z,187,706,1761531899625
1761531898697_653gn75d4,9e5ac443887a34245aad6d8a2a3477f5,2025-10-27T02:25:02.945Z,194,691,1761531899687
1761531898697_653gn75d4,9e5ac443887a34245aad6d8a2a3477f5,2025-10-27T02:25:02.945Z,222,643,1761531899738
1761531898697_653gn75d4,9e5ac443887a34245aad6d8a2a3477f5,2025-10-27T02:25:02.945Z,270,619,1761531899804
1761531898697_653gn75d4,9e5ac443887a34245aad6d8a2a3477f5,2025-10-27T02:25:02.945Z,288,644,1761531899854
1761531914515_oowkjckun,387307857eabf959fce6a366ceea1515,2025-10-27T02:25:19.562Z,30,829,1761531917940
1761531914515_oowkjckun,387307857eabf959fce6a366ceea1515,2025-10-27T02:25:19.562Z,42,807,1761531918004
1761531914515_oowkjckun,387307857eabf959fce6a366ceea1515,2025-10-27T02:25:19.562Z,56,754,1761531918054
1761531914515_oowkjckun,387307857eabf959fce6a366ceea1515,2025-10-27T02:25:19.562Z,55,746,1761531918120
1761531914515_oowkjckun,387307857eabf959fce6a366ceea1515,2025-10-27T02:25:19.562Z,43,720,1761531918170
1761531914515_oowkjckun,387307857eabf959fce6a366ceea1515,2025-10-27T02:25:19.562Z,24,687,1761531918220
1761531914515_oowkjckun,387307857eabf959fce6a366ceea1515,2025-10-27T02:25:19.562Z,22,684,1761531918656
1761531914515_oowkjckun,387307857eabf959fce6a366ceea1515,2025-10-27T02:25:19.562Z,22,685,1761531918708
1761531914515_oowkjckun,387307857eabf959fce6a366ceea1515,2025-10-27T02:25:19.562Z,38,711,1761531918770
1761531914515_oowkjckun,387307857eabf959fce6a366ceea1515,2025-10-27T02:25:19.562Z,82,731,1761531918820
1761531914515_oowkjckun,387307857eabf959fce6a366ceea1515,2025-10-27T02:25:19.562Z,91,732,1761531918870
1761533040639_0dns7vied,dfb0f0f6b83afdad470a62ec4138587a,2025-10-27T02:44:05.521Z,389,527,1761533045144
1761533044313_o698qjfe2,7e30ee3b1da0eb3d59caa3851e9bdc46,2025-10-27T02:44:09.122Z,350,700,1761533044878
1761533044313_o698qjfe2,7e30ee3b1da0eb3d59caa3851e9bdc46,2025-10-27T02:44:09.122Z,231,650,1761533044928
1761533044313_o698qjfe2,7e30ee3b1da0eb3d59caa3851e9bdc46,2025-10-27T02:44:09.122Z,122,617,1761533044979
1761533049145_u2btb4doj,198463dfb70906d33e7f9df10a821b63,2025-10-27T02:44:13.947Z,457,657,1761533051961
1761533073106_b0akxu8pk,7e30ee3b1da0eb3d59caa3851e9bdc46,2025-10-27T02:44:37.397Z,345,812,1761533073419
1761533073106_b0akxu8pk,7e30ee3b1da0eb3d59caa3851e9bdc46,2025-10-27T02:44:37.397Z,344,812,1761533073578
1761533073106_b0akxu8pk,7e30ee3b1da0eb3d59caa3851e9bdc46,2025-10-27T02:44:37.397Z,344,810,1761533073642
1761533073106_b0akxu8pk,7e30ee3b1da0eb3d59caa3851e9bdc46,2025-10-27T02:44:37.397Z,344,810,1761533073752
1761533073106_b0akxu8pk,7e30ee3b1da0eb3d59caa3851e9bdc46,2025-10-27T02:44:37.397Z,342,806,1761533073811
1761533073106_b0akxu8pk,7e30ee3b1da0eb3d59caa3851e9bdc46,2025-10-27T02:44:37.397Z,338,802,1761533073861
1761533073106_b0akxu8pk,7e30ee3b1da0eb3d59caa3851e9bdc46,2025-10-27T02:44:37.397Z,321,783,1761533073911
1761533073106_b0akxu8pk,7e30ee3b1da0eb3d59caa3851e9bdc46,2025-10-27T02:44:37.397Z,268,739,1761533073977
1761533073106_b0akxu8pk,7e30ee3b1da0eb3d59caa3851e9bdc46,2025-10-27T02:44:37.397Z,234,716,1761533074027
1761533073106_b0akxu8pk,7e30ee3b1da0eb3d59caa3851e9bdc46,2025-10-27T02:44:37.397Z,209,700,1761533074077
1761533073106_b0akxu8pk,7e30ee3b1da0eb3d59caa3851e9bdc46,2025-10-27T02:44:37.397Z,180,683,1761533074127
1761533073106_b0akxu8pk,7e30ee3b1da0eb3d59caa3851e9bdc46,2025-10-27T02:44:37.397Z,159,676,1761533074177
1761533073106_b0akxu8pk,7e30ee3b1da0eb3d59caa3851e9bdc46,2025-10-27T02:44:37.397Z,146,670,1761533074227
1761533073106_b0akxu8pk,7e30ee3b1da0eb3d59caa3851e9bdc46,2025-10-27T02:44:37.397Z,130,665,1761533074277
1761533073106_b0akxu8pk,7e30ee3b1da0eb3d59caa3851e9bdc46,2025-10-27T02:44:37.397Z,105,654,1761533074327
1761533073106_b0akxu8pk,7e30ee3b1da0eb3d59caa3851e9bdc46,2025-10-27T02:44:37.397Z,83,647,1761533074377
1761533073106_b0akxu8pk,7e30ee3b1da0eb3d59caa3851e9bdc46,2025-10-27T02:44:37.397Z,64,641,1761533074427
1761533073106_b0akxu8pk,7e30ee3b1da0eb3d59caa3851e9bdc46,2025-10-27T02:44:37.397Z,42,637,1761533074477
1761533073106_b0akxu8pk,7e30ee3b1da0eb3d59caa3851e9bdc46,2025-10-27T02:44:37.397Z,15,635,1761533074527
1761533299384_62931ggqw,dfb0f0f6b83afdad470a62ec4138587a,2025-10-27T02:48:29.290Z,4,560,1761533304734
1761533874683_6a43ep6o7,f06c0d3e479fac14b5a424750219dac8,2025-10-27T02:57:58.927Z,272,776,1761533875624
1761533894712_18ba2b4z7,be94f06ba2182f385604fd43b2f49751,2025-10-27T02:58:18.971Z,376,833,1761533895571
1761533894712_18ba2b4z7,be94f06ba2182f385604fd43b2f49751,2025-10-27T02:58:18.971Z,64,779,1761533895854
1761533894712_18ba2b4z7,be94f06ba2182f385604fd43b2f49751,2025-10-27T02:58:18.971Z,144,755,1761533895905
1761533894712_18ba2b4z7,be94f06ba2182f385604fd43b2f49751,2025-10-27T02:58:18.971Z,345,704,1761533895970
1761533901618_5tl86mxxl,be94f06ba2182f385604fd43b2f49751,2025-10-27T02:58:26.940Z,376,588,1761533906471
1761533903085_dpj44azb5,f06c0d3e479fac14b5a424750219dac8,2025-10-27T02:58:28.302Z,361,822,1761533903921
1761533903085_dpj44azb5,f06c0d3e479fac14b5a424750219dac8,2025-10-27T02:58:28.302Z,52,834,1761533903971
1761533907239_d8bf2iayu,58f49bc46a00338796dfe8369425895f,2025-10-27T02:58:33.716Z,415,402,1761533911104
1761533907239_d8bf2iayu,58f49bc46a00338796dfe8369425895f,2025-10-27T02:58:33.716Z,4,367,1761533911604
1761533907239_d8bf2iayu,58f49bc46a00338796dfe8369425895f,2025-10-27T02:58:33.716Z,424,339,1761533912154
1761533909913_g8i79zbx2,be94f06ba2182f385604fd43b2f49751,2025-10-27T02:58:35.190Z,331,461,1761533910971
1761533909913_g8i79zbx2,be94f06ba2182f385604fd43b2f49751,2025-10-27T02:58:35.190Z,222,321,1761533911704
1761533909913_g8i79zbx2,be94f06ba2182f385604fd43b2f49751,2025-10-27T02:58:35.190Z,383,383,1761533912088
1761533909913_g8i79zbx2,be94f06ba2182f385604fd43b2f49751,2025-10-27T02:58:35.190Z,330,442,1761533914504
1761533909913_g8i79zbx2,be94f06ba2182f385604fd43b2f49751,2025-10-27T02:58:35.190Z,364,395,1761533914937
1761533913104_il7ub5ysu,09620dd6f54a39010841b752cf9ea06d,2025-10-27T02:58:37.448Z,546,337,1761533913221
1761533916275_qlmyhzktr,f06c0d3e479fac14b5a424750219dac8,2025-10-27T02:58:40.632Z,175,373,1761533916287
1761533916275_qlmyhzktr,f06c0d3e479fac14b5a424750219dac8,2025-10-27T02:58:40.632Z,169,373,1761533916337
1761533916275_qlmyhzktr,f06c0d3e479fac14b5a424750219dac8,2025-10-27T02:58:40.632Z,222,377,1761533916387
1761533916275_qlmyhzktr,f06c0d3e479fac14b5a424750219dac8,2025-10-27T02:58:40.632Z,351,375,1761533916437
1761533916275_qlmyhzktr,f06c0d3e479fac14b5a424750219dac8,2025-10-27T02:58:40.632Z,361,378,1761533916504
1761533916275_qlmyhzktr,f06c0d3e479fac14b5a424750219dac8,2025-10-27T02:58:40.632Z,302,396,1761533916554
1761533916275_qlmyhzktr,f06c0d3e479fac14b5a424750219dac8,2025-10-27T02:58:40.632Z,224,426,1761533916604
1761533916275_qlmyhzktr,f06c0d3e479fac14b5a424750219dac8,2025-10-27T02:58:40.632Z,200,437,1761533916699
1761533916275_qlmyhzktr,f06c0d3e479fac14b5a424750219dac8,2025-10-27T02:58:40.632Z,159,448,1761533916754
1761533916275_qlmyhzktr,f06c0d3e479fac14b5a424750219dac8,2025-10-27T02:58:40.632Z,73,451,1761533916804
1761533916548_yf85cotxj,be94f06ba2182f385604fd43b2f49751,2025-10-27T02:58:41.927Z,373,439,1761533916887
1761533921006_f4n3rdyai,58f49bc46a00338796dfe8369425895f,2025-10-27T02:58:45.348Z,44,827,1761533922989
1761533921006_f4n3rdyai,58f49bc46a00338796dfe8369425895f,2025-10-27T02:58:45.348Z,35,723,1761533923054
1761533921006_f4n3rdyai,58f49bc46a00338796dfe8369425895f,2025-10-27T02:58:45.348Z,18,651,1761533923104
1761534100815_iz470yn90,58f49bc46a00338796dfe8369425895f,2025-10-27T03:01:47.421Z,18,646,1761534102764
1761534100815_iz470yn90,58f49bc46a00338796dfe8369425895f,2025-10-27T03:01:47.421Z,27,701,1761534102819
1761534100815_iz470yn90,58f49bc46a00338796dfe8369425895f,2025-10-27T03:01:47.421Z,34,725,1761534102869
1761534100815_iz470yn90,58f49bc46a00338796dfe8369425895f,2025-10-27T03:01:47.421Z,34,725,1761534103015
1761534100815_iz470yn90,58f49bc46a00338796dfe8369425895f,2025-10-27T03:01:47.421Z,74,726,1761534103069
1761534100815_iz470yn90,58f49bc46a00338796dfe8369425895f,2025-10-27T03:01:47.421Z,78,738,1761534103119
1761534100815_iz470yn90,58f49bc46a00338796dfe8369425895f,2025-10-27T03:01:47.421Z,88,764,1761534103169
1761534100815_iz470yn90,58f49bc46a00338796dfe8369425895f,2025-10-27T03:01:47.421Z,103,786,1761534103219
1761534100815_iz470yn90,58f49bc46a00338796dfe8369425895f,2025-10-27T03:01:47.421Z,74,818,1761534107389
