schema_version,round_id,player_address_hash,timestamp,round_type,grid_size,steps,correct_steps,time_elapsed_ms,time_limit_ms,is_perfect,time_expired,session_id,mean_reaction_time,std_reaction_time,min_reaction_time,max_reaction_time,entropy_reaction_time,mean_inter_click_interval,std_inter_click_interval,entropy_inter_click,mean_click_x_norm,std_click_x_norm,mean_click_y_norm,std_click_y_norm,click_position_entropy,misclick_count,double_click_count,first_click_reaction_time,click_hesitation_count,mouse_move_count,mouse_total_distance,mouse_avg_speed,mouse_max_speed,mouse_direction_changes,mouse_acceleration_changes,mouse_pause_count,mouse_idle_time_ratio,round_in_session,session_avg_time_per_round,consecutive_perfect_rounds,time_pressure_ratio,speed_to_accuracy_ratio,dominant_click_type,device_info_hash,label
1,"1761537358991_ynf9pguto","c98cace2fda2cd9efd142ea27f9fb5bc","2025-10-27T03:56:03.317Z","INFINITE",3,3,3,4326,20000,1,0,"sess_i3kh3e3p_1761537327465",317.500,26.500,291.000,344.000,1.0000,291.000,0.000,0.0000,0.1107,0.0324,0.8240,0.0498,1.5850,0,0,344.000,0,0,0.00,0.0000,0.0000,0,0,0,0.0000,2,4635.500,2,0.2163,317.5000,"mouse","e6b71e3412bfade7","human"
1,"1761537362729_5i88129zf","9988d569b2c36937a5c25b8ad2e311b2","2025-10-27T03:56:06.978Z","INFINITE",3,3,3,4249,19800,1,0,"sess_yheuq9yo_1761537321926",280.500,9.500,271.000,290.000,1.0000,271.000,0.000,0.0000,0.1059,0.0666,0.7392,0.1184,1.5850,0,0,290.000,0,0,0.00,0.0000,0.0000,0,0,0,0.0000,5,4869.200,1,0.2146,280.5000,"mouse","8313f4547f73e3c2","human"
1,"1761537364404_atuhcd6uc","c98cace2fda2cd9efd142ea27f9fb5bc","2025-10-27T03:56:08.786Z","INFINITE",3,3,3,4382,19800,1,0,"sess_i3kh3e3p_1761537327465",337.000,38.000,299.000,375.000,1.0000,375.000,0.000,0.0000,0.1336,0.0000,0.8240,0.0995,0.0000,0,0,299.000,0,0,0.00,0.0000,0.0000,0,0,0,0.0000,3,4551.000,3,0.2213,337.0000,"mouse","e6b71e3412bfade7","human"
1,"1761537366593_cnsdppdvp","76ef0ecebc0b613abaf86562b711a178","2025-10-27T03:56:11.037Z","INFINITE",3,3,3,4444,20000,1,0,"sess_5wydnjfo_1761537334877",388.000,6.000,382.000,394.000,1.0000,382.000,0.000,0.0000,0.0863,0.0315,0.7153,0.0839,1.5850,0,0,394.000,0,3,124.79,1.1099,1.3927,0,0,0,0.0000,2,4745.000,2,0.2222,388.0000,"mouse","c66ce809a25f3649","human"
1,"1761537365956_kfryll9v4","f4f888e07d939001c24602f06ab83b7d","2025-10-27T03:56:11.241Z","INFINITE",3,4,4,5285,19400,1,0,"sess_xcb415rr_1761537299232",270.333,60.731,192.000,340.000,1.5850,266.000,74.000,1.0000,0.1196,0.0638,0.6525,0.0684,2.0000,0,0,279.000,0,0,0.00,0.0000,0.0000,0,0,0,0.0000,5,4874.000,5,0.2724,270.3333,"mouse","4b3a3162c9abb194","human"
1,"1761537368348_ikougy2ym","9988d569b2c36937a5c25b8ad2e311b2","2025-10-27T03:56:13.925Z","INFINITE",3,4,4,5577,19600,1,0,"sess_yheuq9yo_1761537321926",339.000,135.442,231.000,530.000,0.9183,380.500,149.500,1.0000,0.1118,0.0586,0.6868,0.0544,1.5000,0,0,256.000,1,0,0.00,0.0000,0.0000,0,0,0,0.0000,6,4987.167,2,0.2845,339.0000,"mouse","8313f4547f73e3c2","human"
1,"1761537371680_wr4ntspse","c98cace2fda2cd9efd142ea27f9fb5bc","2025-10-27T03:56:17.353Z","INFINITE",3,4,4,5673,19600,1,0,"sess_i3kh3e3p_1761537327465",347.333,39.041,293.000,383.000,1.5850,374.500,8.500,1.0000,0.1362,0.0498,0.9174,0.0938,2.0000,0,0,293.000,0,0,0.00,0.0000,0.0000,0,0,0,0.0000,4,4831.500,4,0.2894,347.3333,"mouse","e6b71e3412bfade7","human"
1,"1761537373494_qz8z3sfo4","76ef0ecebc0b613abaf86562b711a178","2025-10-27T03:56:18.159Z","INFINITE",3,3,3,4665,19800,1,0,"sess_5wydnjfo_1761537334877",474.500,152.500,322.000,627.000,1.0000,627.000,0.000,0.0000,0.1308,0.0546,0.6811,0.0969,1.5850,0,0,322.000,1,0,0.00,0.0000,0.0000,0,0,0,0.0000,3,4718.333,3,0.2356,474.5000,"mouse","c66ce809a25f3649","human"
1,"1761537373272_igk3guu0f","f4f888e07d939001c24602f06ab83b7d","2025-10-27T03:56:18.857Z","INFINITE",3,5,1,5585,19200,0,0,"sess_xcb415rr_1761537299232",281.000,0.000,281.000,281.000,0.0000,0.000,0.000,0.0000,0.1003,0.0385,0.7208,0.1367,1.0000,1,0,281.000,0,0,0.00,0.0000,0.0000,0,0,0,0.0000,6,4992.500,0,0.2909,140.5000,"mouse","4b3a3162c9abb194","human"
1,"1761537375998_r0kcn8ju8","9988d569b2c36937a5c25b8ad2e311b2","2025-10-27T03:56:21.722Z","INFINITE",3,4,4,5724,19400,1,0,"sess_yheuq9yo_1761537321926",414.333,109.910,283.000,552.000,1.5850,417.500,134.500,1.0000,0.1471,0.0586,0.7496,0.1042,2.0000,0,0,408.000,1,0,0.00,0.0000,0.0000,0,0,0,0.0000,7,5092.429,3,0.2951,414.3333,"mouse","8313f4547f73e3c2","human"
1,"1761537381016_ia90daymi","76ef0ecebc0b613abaf86562b711a178","2025-10-27T03:56:26.347Z","INFINITE",3,4,1,5331,19600,0,0,"sess_5wydnjfo_1761537334877",642.000,0.000,642.000,642.000,0.0000,0.000,0.000,0.0000,0.1331,0.0683,0.7188,0.1051,1.0000,1,0,642.000,1,0,0.00,0.0000,0.0000,0,0,0,0.0000,4,4871.500,0,0.2720,321.0000,"mouse","c66ce809a25f3649","human"
1,"1761537381168_sdbb6xpns","f4f888e07d939001c24602f06ab83b7d","2025-10-27T03:56:26.453Z","INFINITE",3,5,5,5285,19200,1,0,"sess_xcb415rr_1761537299232",61.750,53.839,30.000,155.000,0.8113,30.667,0.471,0.9183,0.1080,0.0377,0.7208,0.1223,1.9219,0,3,155.000,0,0,0.00,0.0000,0.0000,0,0,0,0.0000,7,5034.286,1,0.2753,61.7500,"mouse","4b3a3162c9abb194","human"
1,"1761537383264_1hh9n2v08","9988d569b2c36937a5c25b8ad2e311b2","2025-10-27T03:56:29.750Z","INFINITE",3,5,5,6485,19200,1,0,"sess_yheuq9yo_1761537321926",288.000,34.227,248.000,342.000,2.0000,292.333,38.560,1.5850,0.1012,0.0346,0.7559,0.0940,2.3219,0,0,275.000,0,0,0.00,0.0000,0.0000,0,0,0,0.0000,8,5266.500,4,0.3378,288.0000,"mouse","8313f4547f73e3c2","human"
1,"1761537385829_y2rzd1mhi","c98cace2fda2cd9efd142ea27f9fb5bc","2025-10-27T03:56:32.292Z","INFINITE",3,4,4,6463,19400,1,0,"sess_i3kh3e3p_1761537327465",644.667,408.960,351.000,1223.000,0.9183,791.500,431.500,1.0000,0.1538,0.0584,0.8362,0.0898,2.0000,0,0,351.000,1,0,0.00,0.0000,0.0000,0,0,0,0.0000,5,5157.800,5,0.3331,644.6667,"mouse","e6b71e3412bfade7","human"
1,"1761537388587_eb0vdtqec","76ef0ecebc0b613abaf86562b711a178","2025-10-27T03:56:34.304Z","INFINITE",3,4,4,5716,19600,1,0,"sess_5wydnjfo_1761537334877",359.333,62.002,314.000,447.000,0.9183,315.500,1.500,1.0000,0.1673,0.0342,0.7188,0.0743,2.0000,0,0,447.000,0,0,0.00,0.0000,0.0000,0,0,0,0.0000,5,5040.400,1,0.2916,359.3333,"mouse","c66ce809a25f3649","human"
1,"1761537388661_ggjvwg1f4","f4f888e07d939001c24602f06ab83b7d","2025-10-27T03:56:34.637Z","INFINITE",4,5,5,5976,19000,1,0,"sess_xcb415rr_1761537299232",208.000,21.506,188.000,243.000,1.5000,196.333,8.498,1.5850,0.1100,0.0632,0.6696,0.0917,2.3219,0,0,243.000,0,0,0.00,0.0000,0.0000,0,0,0,0.0000,8,5152.000,2,0.3145,208.0000,"mouse","4b3a3162c9abb194","human"
1,"1761537391421_e2iy626my","9988d569b2c36937a5c25b8ad2e311b2","2025-10-27T03:56:38.091Z","INFINITE",4,5,5,6670,19000,1,0,"sess_yheuq9yo_1761537321926",361.250,104.152,286.000,540.000,1.5000,373.667,117.673,0.9183,0.1029,0.0581,0.7339,0.0843,2.3219,0,0,324.000,1,0,0.00,0.0000,0.0000,0,0,0,0.0000,9,5422.444,5,0.3511,361.2500,"mouse","8313f4547f73e3c2","human"
1,"1761537393985_oterrnugr","c98cace2fda2cd9efd142ea27f9fb5bc","2025-10-27T03:56:40.320Z","INFINITE",3,5,2,6335,19200,0,0,"sess_i3kh3e3p_1761537327465",469.000,56.000,413.000,525.000,1.0000,413.000,0.000,0.0000,0.1128,0.0664,0.7911,0.0510,1.5850,1,0,525.000,1,0,0.00,0.0000,0.0000,0,0,0,0.0000,6,5354.000,0,0.3299,234.5000,"mouse","e6b71e3412bfade7","human"
1,"1761537395774_re8j7951m","76ef0ecebc0b613abaf86562b711a178","2025-10-27T03:56:41.528Z","INFINITE",3,4,4,5754,19400,1,0,"sess_5wydnjfo_1761537334877",373.333,20.072,345.000,389.000,0.9183,365.500,20.500,1.0000,0.1673,0.0342,0.7976,0.0455,1.5000,0,0,389.000,0,0,0.00,0.0000,0.0000,0,0,0,0.0000,6,5159.333,2,0.2966,373.3333,"mouse","c66ce809a25f3649","human"
1,"1761537397564_i4yrw4cab","f4f888e07d939001c24602f06ab83b7d","2025-10-27T03:56:44.779Z","INFINITE",4,6,6,7215,18800,1,0,"sess_xcb415rr_1761537299232",280.400,77.683,223.000,432.000,1.5219,242.500,19.007,1.5000,0.1580,0.0616,0.7208,0.1290,2.5850,0,0,432.000,0,0,0.00,0.0000,0.0000,0,0,0,0.0000,9,5381.222,3,0.3838,280.4000,"mouse","4b3a3162c9abb194","human"
1,"1761537403144_fx7w6wltf","c98cace2fda2cd9efd142ea27f9fb5bc","2025-10-27T03:56:50.174Z","INFINITE",3,5,5,7030,19200,1,0,"sess_i3kh3e3p_1761537327465",357.500,38.506,301.000,395.000,1.5000,346.333,38.448,1.5850,0.1194,0.0670,0.9005,0.0515,0.9710,0,0,391.000,0,0,0.00,0.0000,0.0000,0,0,0,0.0000,7,5593.429,1,0.3661,357.5000,"mouse","e6b71e3412bfade7","human"
1,"1761537402852_d7ukfoh7h","76ef0ecebc0b613abaf86562b711a178","2025-10-27T03:56:50.882Z","INFINITE",3,5,3,8030,19200,0,0,"sess_5wydnjfo_1761537334877",856.333,467.704,420.000,1505.000,1.5850,1074.500,430.500,1.0000,0.1186,0.0584,0.7236,0.0766,2.0000,1,0,420.000,2,0,0.00,0.0000,0.0000,0,0,0,0.0000,7,5569.429,0,0.4182,428.1667,"mouse","c66ce809a25f3649","human"
1,"1761537406843_mjj5368fv","f4f888e07d939001c24602f06ab83b7d","2025-10-27T03:56:53.545Z","INFINITE",4,6,5,6702,18600,0,0,"sess_xcb415rr_1761537299232",211.400,13.185,198.000,232.000,1.9219,206.250,9.203,1.5000,0.1100,0.0666,0.8063,0.0483,2.2516,1,0,232.000,0,0,0.00,0.0000,0.0000,0,0,0,0.0000,10,5513.300,0,0.3603,105.7000,"mouse","4b3a3162c9abb194","human"
1,"1761537408398_midligw31","9988d569b2c36937a5c25b8ad2e311b2","2025-10-27T03:56:54.083Z","INFINITE",4,6,1,5685,18800,0,0,"sess_yheuq9yo_1761537321926",31.000,0.000,31.000,31.000,0.0000,0.000,0.000,0.0000,0.1559,0.0530,0.7339,0.0000,0.0000,1,1,31.000,0,0,0.00,0.0000,0.0000,0,0,0,0.0000,10,5448.700,0,0.3024,15.5000,"mouse","8313f4547f73e3c2","human"
1,"1761537412520_ltcraj0bs","c98cace2fda2cd9efd142ea27f9fb5bc","2025-10-27T03:56:57.965Z","INFINITE",4,5,5,5444,19000,1,0,"sess_i3kh3e3p_1761537327465",124.500,94.904,31.000,241.000,1.5000,155.667,90.131,1.5850,0.1838,0.0423,0.8876,0.0947,2.3219,0,2,31.000,0,0,0.00,0.0000,0.0000,0,0,0,0.0000,8,5574.750,2,0.2865,124.5000,"mouse","e6b71e3412bfade7","human"
1,"1761537416175_fbu4vsy1i","9988d569b2c36937a5c25b8ad2e311b2","2025-10-27T03:57:01.987Z","INFINITE",4,6,6,5812,18800,1,0,"sess_yheuq9yo_1761537321926",30.800,0.748,30.000,32.000,1.5219,30.750,0.829,1.5000,0.1294,0.0507,0.7967,0.1042,2.5850,0,5,31.000,0,0,0.00,0.0000,0.0000,0,0,0,0.0000,11,5481.727,1,0.3091,30.8000,"mouse","8313f4547f73e3c2","human"
1,"1761537415738_10scr5w36","f4f888e07d939001c24602f06ab83b7d","2025-10-27T03:57:02.794Z","INFINITE",4,6,6,7056,18600,1,0,"sess_xcb415rr_1761537299232",262.400,127.497,179.000,514.000,1.3710,283.250,134.706,1.5000,0.1580,0.0616,0.8063,0.1134,2.2516,0,0,179.000,1,0,0.00,0.0000,0.0000,0,0,0,0.0000,11,5653.545,1,0.3794,262.4000,"mouse","4b3a3162c9abb194","human"
1,"1761537419927_tlxynm5v1","76ef0ecebc0b613abaf86562b711a178","2025-10-27T03:57:07.702Z","INFINITE",3,5,5,7775,19200,1,0,"sess_5wydnjfo_1761537334877",578.750,111.295,495.000,768.000,1.5000,606.667,115.751,1.5850,0.1468,0.0511,0.7188,0.0940,1.9219,0,0,495.000,3,0,0.00,0.0000,0.0000,0,0,0,0.0000,8,5845.125,1,0.4049,578.7500,"mouse","c66ce809a25f3649","human"
1,"1761537419998_w6hk0txi7","c98cace2fda2cd9efd142ea27f9fb5bc","2025-10-27T03:57:09.285Z","INFINITE",4,6,6,9287,18800,1,0,"sess_i3kh3e3p_1761537327465",329.600,69.070,265.000,462.000,1.9219,340.250,73.459,2.0000,0.1450,0.0394,0.8227,0.0663,2.2516,0,0,287.000,0,0,0.00,0.0000,0.0000,0,0,0,0.0000,9,5987.222,3,0.4940,329.6000,"mouse","e6b71e3412bfade7","human"
1,"1761537423657_b1d8kzo1w","9988d569b2c36937a5c25b8ad2e311b2","2025-10-27T03:57:09.436Z","INFINITE",4,6,3,5779,18600,0,0,"sess_yheuq9yo_1761537321926",77.000,65.054,31.000,169.000,0.9183,100.000,69.000,1.0000,0.0897,0.0439,0.7810,0.1413,2.0000,1,2,31.000,0,0,0.00,0.0000,0.0000,0,0,0,0.0000,12,5506.500,0,0.3107,38.5000,"mouse","8313f4547f73e3c2","human"
1,"1761537425141_p2c8dk2sr","f4f888e07d939001c24602f06ab83b7d","2025-10-27T03:57:13.016Z","INFINITE",4,7,7,7875,18400,1,0,"sess_xcb415rr_1761537299232",259.500,66.004,197.000,399.000,1.9183,258.400,72.254,1.9219,0.1017,0.0369,0.7282,0.1208,2.5216,0,0,265.000,0,0,0.00,0.0000,0.0000,0,0,0,0.0000,12,5838.667,2,0.4280,259.5000,"mouse","4b3a3162c9abb194","human"
1,"1761537430807_kk8lkc47n","9988d569b2c36937a5c25b8ad2e311b2","2025-10-27T03:57:16.296Z","INFINITE",4,6,1,5489,18600,0,0,"sess_yheuq9yo_1761537321926",31.000,0.000,31.000,31.000,0.0000,0.000,0.000,0.0000,0.1029,0.0000,0.7810,0.1413,0.0000,1,1,31.000,0,0,0.00,0.0000,0.0000,0,0,0,0.0000,13,5505.154,0,0.2951,15.5000,"mouse","8313f4547f73e3c2","human"
1,"1761537431459_nb040wb1e","c98cace2fda2cd9efd142ea27f9fb5bc","2025-10-27T03:57:18.597Z","INFINITE",4,6,6,7138,18600,1,0,"sess_i3kh3e3p_1761537327465",274.400,31.841,216.000,310.000,1.9219,270.750,34.651,2.0000,0.1274,0.0726,0.8362,0.0558,2.5850,0,0,289.000,0,0,0.00,0.0000,0.0000,0,0,0,0.0000,10,6102.300,4,0.3838,274.4000,"mouse","e6b71e3412bfade7","human"
